"DATE","PRODUCT","WEIGHTED_AVG_IN_EURO"
"2021-01-01","ELECTRICITY",""
"2021-01-02","ELECTRICITY","0.2356"
"2021-01-03","ELECTRICITY","0.2356"
"2021-01-04","ELECTRICITY","0.2356"
"2021-01-05","ELECTRICITY","0.2340"
"2021-01-06","ELECTRICITY","0.2382"
"2021-01-07","ELECTRICITY","0.2382"
"2021-01-08","ELECTRICITY","0.2383"
"2021-01-09","ELECTRICITY","0.2381"
"2021-01-10","ELECTRICITY","0.2381"
"2021-01-11","ELECTRICITY","0.2381"
"2021-01-12","ELECTRICITY","0.2383"
"2021-01-13","ELECTRICITY","0.2395"
"2021-01-14","ELECTRICITY","0.2381"
"2021-01-15","ELECTRICITY","0.2387"
"2021-01-16","ELECTRICITY","0.2397"
"2021-01-17","ELECTRICITY","0.2397"
"2021-01-18","ELECTRICITY","0.2397"
"2021-01-19","ELECTRICITY","0.2407"
"2021-01-20","ELECTRICITY","0.2412"
"2021-01-21","ELECTRICITY","0.2415"
"2021-01-22","ELECTRICITY","0.2416"
"2021-01-23","ELECTRICITY","0.2418"
"2021-01-24","ELECTRICITY","0.2418"
"2021-01-25","ELECTRICITY","0.2418"
"2021-01-26","ELECTRICITY","0.2421"
"2021-01-27","ELECTRICITY","0.2425"
"2021-01-28","ELECTRICITY","0.2422"
"2021-01-29","ELECTRICITY","0.2427"
"2021-01-30","ELECTRICITY","0.2432"
"2021-01-31","ELECTRICITY","0.2432"
"2021-02-01","ELECTRICITY","0.2432"
"2021-02-02","ELECTRICITY","0.2432"
"2021-02-03","ELECTRICITY","0.2433"
"2021-02-04","ELECTRICITY","0.2435"
"2021-02-05","ELECTRICITY","0.2440"
"2021-02-06","ELECTRICITY","0.2442"
"2021-02-07","ELECTRICITY","0.2442"
"2021-02-08","ELECTRICITY","0.2443"
"2021-02-09","ELECTRICITY","0.2445"
"2021-02-10","ELECTRICITY","0.2446"
"2021-02-11","ELECTRICITY","0.2437"
"2021-02-12","ELECTRICITY","0.2437"
"2021-02-13","ELECTRICITY","0.2436"
"2021-02-14","ELECTRICITY","0.2436"
"2021-02-15","ELECTRICITY","0.2436"
"2021-02-16","ELECTRICITY","0.2444"
"2021-02-17","ELECTRICITY","0.2451"
"2021-02-18","ELECTRICITY","0.2453"
"2021-02-19","ELECTRICITY","0.2454"
"2021-02-20","ELECTRICITY","0.2437"
"2021-02-21","ELECTRICITY","0.2437"
"2021-02-22","ELECTRICITY","0.2437"
"2021-02-23","ELECTRICITY","0.2439"
"2021-02-24","ELECTRICITY","0.2439"
"2021-02-25","ELECTRICITY","0.2452"
"2021-02-26","ELECTRICITY","0.2452"
"2021-02-27","ELECTRICITY","0.2453"
"2021-02-28","ELECTRICITY","0.2453"
"2021-03-01","ELECTRICITY","0.2453"
"2021-03-02","ELECTRICITY","0.2455"
"2021-03-03","ELECTRICITY","0.2411"
"2021-03-04","ELECTRICITY","0.2404"
"2021-03-05","ELECTRICITY","0.2458"
"2021-03-06","ELECTRICITY","0.2458"
"2021-03-07","ELECTRICITY","0.2458"
"2021-03-08","ELECTRICITY","0.2458"
"2021-03-09","ELECTRICITY","0.2458"
"2021-03-10","ELECTRICITY","0.2463"
"2021-03-11","ELECTRICITY","0.2460"
"2021-03-12","ELECTRICITY","0.2461"
"2021-03-13","ELECTRICITY","0.2459"
"2021-03-14","ELECTRICITY","0.2459"
"2021-03-15","ELECTRICITY","0.2459"
"2021-03-16","ELECTRICITY","0.2459"
"2021-03-17","ELECTRICITY","0.2460"
"2021-03-18","ELECTRICITY","0.2460"
"2021-03-19","ELECTRICITY","0.2461"
"2021-03-20","ELECTRICITY","0.2461"
"2021-03-21","ELECTRICITY","0.2461"
"2021-03-22","ELECTRICITY","0.2461"
"2021-03-23","ELECTRICITY","0.2462"
"2021-03-24","ELECTRICITY","0.2462"
"2021-03-25","ELECTRICITY","0.2463"
"2021-03-26","ELECTRICITY","0.2465"
"2021-03-27","ELECTRICITY","0.2466"
"2021-03-28","ELECTRICITY","0.2466"
"2021-03-29","ELECTRICITY","0.2466"
"2021-03-30","ELECTRICITY","0.2466"
"2021-03-31","ELECTRICITY","0.2467"
"2021-04-01","ELECTRICITY","0.2467"
"2021-04-02","ELECTRICITY","0.2467"
"2021-04-03","ELECTRICITY","0.2467"
"2021-04-04","ELECTRICITY","0.2467"
"2021-04-05","ELECTRICITY","0.2467"
"2021-04-06","ELECTRICITY","0.2467"
"2021-04-07","ELECTRICITY","0.2474"
"2021-04-08","ELECTRICITY","0.2474"
"2021-04-09","ELECTRICITY","0.2476"
"2021-04-10","ELECTRICITY","0.2442"
"2021-04-11","ELECTRICITY","0.2442"
"2021-04-12","ELECTRICITY","0.2442"
"2021-04-13","ELECTRICITY","0.2442"
"2021-04-14","ELECTRICITY","0.2442"
"2021-04-15","ELECTRICITY","0.2442"
"2021-04-16","ELECTRICITY","0.2442"
"2021-04-17","ELECTRICITY","0.2442"
"2021-04-18","ELECTRICITY","0.2442"
"2021-04-19","ELECTRICITY","0.2442"
"2021-04-20","ELECTRICITY","0.2486"
"2021-04-21","ELECTRICITY","0.2486"
"2021-04-22","ELECTRICITY","0.2488"
"2021-04-23","ELECTRICITY","0.2489"
"2021-04-24","ELECTRICITY","0.2492"
"2021-04-25","ELECTRICITY","0.2492"
"2021-04-26","ELECTRICITY","0.2492"
"2021-04-27","ELECTRICITY","0.2495"
"2021-04-28","ELECTRICITY","0.2496"
"2021-04-29","ELECTRICITY","0.2497"
"2021-04-30","ELECTRICITY","0.2497"
"2021-05-01","ELECTRICITY","0.2494"
"2021-05-02","ELECTRICITY","0.2494"
"2021-05-03","ELECTRICITY","0.2494"
"2021-05-04","ELECTRICITY","0.2494"
"2021-05-05","ELECTRICITY","0.2497"
"2021-05-06","ELECTRICITY","0.2497"
"2021-05-07","ELECTRICITY","0.2499"
"2021-05-08","ELECTRICITY","0.2501"
"2021-05-09","ELECTRICITY","0.2501"
"2021-05-10","ELECTRICITY","0.2501"
"2021-05-11","ELECTRICITY","0.2503"
"2021-05-12","ELECTRICITY","0.2505"
"2021-05-13","ELECTRICITY","0.2507"
"2021-05-14","ELECTRICITY","0.2507"
"2021-05-15","ELECTRICITY","0.2508"
"2021-05-16","ELECTRICITY","0.2508"
"2021-05-17","ELECTRICITY","0.2508"
"2021-05-18","ELECTRICITY","0.2512"
"2021-05-19","ELECTRICITY","0.2520"
"2021-05-20","ELECTRICITY","0.2507"
"2021-05-21","ELECTRICITY","0.2507"
"2021-05-22","ELECTRICITY","0.2055"
"2021-05-23","ELECTRICITY","0.2055"
"2021-05-24","ELECTRICITY","0.2055"
"2021-05-25","ELECTRICITY","0.2055"
"2021-05-26","ELECTRICITY","0.2054"
"2021-05-27","ELECTRICITY","0.2171"
"2021-05-28","ELECTRICITY","0.2173"
"2021-05-29","ELECTRICITY","0.2542"
"2021-05-30","ELECTRICITY","0.2542"
"2021-05-31","ELECTRICITY","0.2542"
"2021-06-01","ELECTRICITY","0.2546"
"2021-06-02","ELECTRICITY","0.2560"
"2021-06-03","ELECTRICITY","0.2560"
"2021-06-04","ELECTRICITY","0.2560"
"2021-06-05","ELECTRICITY","0.2578"
"2021-06-06","ELECTRICITY","0.2578"
"2021-06-07","ELECTRICITY","0.2578"
"2021-06-08","ELECTRICITY","0.2581"
"2021-06-09","ELECTRICITY","0.2588"
"2021-06-10","ELECTRICITY","0.2589"
"2021-06-11","ELECTRICITY","0.2616"
"2021-06-12","ELECTRICITY","0.2617"
"2021-06-13","ELECTRICITY","0.2617"
"2021-06-14","ELECTRICITY","0.2617"
"2021-06-15","ELECTRICITY","0.2619"
"2021-06-16","ELECTRICITY","0.2620"
"2021-06-17","ELECTRICITY","0.2621"
"2021-06-18","ELECTRICITY","0.2622"
"2021-06-19","ELECTRICITY","0.2625"
"2021-06-20","ELECTRICITY","0.2625"
"2021-06-21","ELECTRICITY","0.2625"
"2021-06-22","ELECTRICITY","0.2635"
"2021-06-23","ELECTRICITY","0.2635"
"2021-06-24","ELECTRICITY","0.2616"
"2021-06-25","ELECTRICITY","0.2617"
"2021-06-26","ELECTRICITY","0.2663"
"2021-06-27","ELECTRICITY","0.2663"
"2021-06-28","ELECTRICITY","0.2663"
"2021-06-29","ELECTRICITY","0.2661"
"2021-06-30","ELECTRICITY","0.2661"
"2021-07-01","ELECTRICITY","0.2598"
"2021-07-02","ELECTRICITY","0.2655"
"2021-07-03","ELECTRICITY","0.2655"
"2021-07-04","ELECTRICITY","0.2655"
