"DATE","PRODUCT","WEIGHTED_AVG_IN_EURO"
"2021-01-01","GAS",""
"2021-01-02","GAS","0.0432"
"2021-01-03","GAS","0.0432"
"2021-01-04","GAS","0.0432"
"2021-01-05","GAS","0.0440"
"2021-01-06","GAS","0.0443"
"2021-01-07","GAS","0.0443"
"2021-01-08","GAS","0.0444"
"2021-01-09","GAS","0.0444"
"2021-01-10","GAS","0.0444"
"2021-01-11","GAS","0.0444"
"2021-01-12","GAS","0.0447"
"2021-01-13","GAS","0.0448"
"2021-01-14","GAS","0.0453"
"2021-01-15","GAS","0.0454"
"2021-01-16","GAS","0.0455"
"2021-01-17","GAS","0.0455"
"2021-01-18","GAS","0.0455"
"2021-01-19","GAS","0.0456"
"2021-01-20","GAS","0.0457"
"2021-01-21","GAS","0.0456"
"2021-01-22","GAS","0.0457"
"2021-01-23","GAS","0.0457"
"2021-01-24","GAS","0.0457"
"2021-01-25","GAS","0.0457"
"2021-01-26","GAS","0.0456"
"2021-01-27","GAS","0.0459"
"2021-01-28","GAS","0.0458"
"2021-01-29","GAS","0.0458"
"2021-01-30","GAS","0.0458"
"2021-01-31","GAS","0.0458"
"2021-02-01","GAS","0.0458"
"2021-02-02","GAS","0.0458"
"2021-02-03","GAS","0.0459"
"2021-02-04","GAS","0.0459"
"2021-02-05","GAS","0.0459"
"2021-02-06","GAS","0.0459"
"2021-02-07","GAS","0.0459"
"2021-02-08","GAS","0.0459"
"2021-02-09","GAS","0.0461"
"2021-02-10","GAS","0.0461"
"2021-02-11","GAS","0.0461"
"2021-02-12","GAS","0.0462"
"2021-02-13","GAS","0.0461"
"2021-02-14","GAS","0.0461"
"2021-02-15","GAS","0.0461"
"2021-02-16","GAS","0.0462"
"2021-02-17","GAS","0.0464"
"2021-02-18","GAS","0.0464"
"2021-02-19","GAS","0.0464"
"2021-02-20","GAS","0.0463"
"2021-02-21","GAS","0.0463"
"2021-02-22","GAS","0.0463"
"2021-02-23","GAS","0.0465"
"2021-02-24","GAS","0.0465"
"2021-02-25","GAS","0.0464"
"2021-02-26","GAS","0.0464"
"2021-02-27","GAS","0.0463"
"2021-02-28","GAS","0.0463"
"2021-03-01","GAS","0.0463"
"2021-03-02","GAS","0.0465"
"2021-03-03","GAS","0.0461"
"2021-03-04","GAS","0.0461"
"2021-03-05","GAS","0.0468"
"2021-03-06","GAS","0.0468"
"2021-03-07","GAS","0.0468"
"2021-03-08","GAS","0.0468"
"2021-03-09","GAS","0.0468"
"2021-03-10","GAS","0.0470"
"2021-03-11","GAS","0.0470"
"2021-03-12","GAS","0.0470"
"2021-03-13","GAS","0.0469"
"2021-03-14","GAS","0.0469"
"2021-03-15","GAS","0.0469"
"2021-03-16","GAS","0.0469"
"2021-03-17","GAS","0.0468"
"2021-03-18","GAS","0.0468"
"2021-03-19","GAS","0.0468"
"2021-03-20","GAS","0.0468"
"2021-03-21","GAS","0.0468"
"2021-03-22","GAS","0.0468"
"2021-03-23","GAS","0.0469"
"2021-03-24","GAS","0.0469"
"2021-03-25","GAS","0.0469"
"2021-03-26","GAS","0.0475"
"2021-03-27","GAS","0.0474"
"2021-03-28","GAS","0.0474"
"2021-03-29","GAS","0.0474"
"2021-03-30","GAS","0.0474"
"2021-03-31","GAS","0.0474"
"2021-04-01","GAS","0.0475"
"2021-04-02","GAS","0.0474"
"2021-04-03","GAS","0.0474"
"2021-04-04","GAS","0.0474"
"2021-04-05","GAS","0.0474"
"2021-04-06","GAS","0.0474"
"2021-04-07","GAS","0.0475"
"2021-04-08","GAS","0.0475"
"2021-04-09","GAS","0.0476"
"2021-04-10","GAS","0.0475"
"2021-04-11","GAS","0.0475"
"2021-04-12","GAS","0.0475"
"2021-04-13","GAS","0.0476"
"2021-04-14","GAS","0.0476"
